"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 01 14:40:30 ICT 2023","Wed Mar 01 14:40:31 ICT 2023","204","","Misc","","","","cy.wrap() - wrap an object",""
"passed","Wed Mar 01 14:40:02 ICT 2023","Wed Mar 01 14:40:02 ICT 2023","527","","Connectors","","","",".its() - get properties on the current subject",""
"passed","Wed Mar 01 14:41:05 ICT 2023","Wed Mar 01 14:41:05 ICT 2023","595","","Querying","","","","cy.root() - query the root DOM element",""
"passed","Wed Mar 01 14:40:01 ICT 2023","Wed Mar 01 14:40:02 ICT 2023","404","","Connectors","","","",".each() - iterate over an array of elements",""
"passed","Wed Mar 01 14:40:47 ICT 2023","Wed Mar 01 14:40:48 ICT 2023","1058","","Network Requests","","","","cy.request() - verify response using BDD syntax",""
"passed","Wed Mar 01 14:41:42 ICT 2023","Wed Mar 01 14:41:42 ICT 2023","267","","Traversal","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Wed Mar 01 14:40:51 ICT 2023","Wed Mar 01 14:40:53 ICT 2023","2043","","Network Requests","","","","cy.intercept() - route responses to matching requests",""
"passed","Wed Mar 01 14:39:55 ICT 2023","Wed Mar 01 14:39:56 ICT 2023","232","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Wed Mar 01 14:39:39 ICT 2023","Wed Mar 01 14:39:39 ICT 2023","291","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Wed Mar 01 14:39:43 ICT 2023","Wed Mar 01 14:39:43 ICT 2023","243","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Wed Mar 01 14:39:49 ICT 2023","Wed Mar 01 14:39:51 ICT 2023","1416","","Aliasing","","","",".as() - alias a route for later use",""
"passed","Wed Mar 01 14:40:45 ICT 2023","Wed Mar 01 14:40:47 ICT 2023","1998","","Network Requests","","","","cy.request() - make an XHR request",""
"passed","Wed Mar 01 14:39:35 ICT 2023","Wed Mar 01 14:39:36 ICT 2023","502","","Actions","","","",".submit() - submit a form",""
"passed","Wed Mar 01 14:40:13 ICT 2023","Wed Mar 01 14:40:13 ICT 2023","670","","Cypress.Commands","","","",".add() - create a custom command",""
"passed","Wed Mar 01 14:40:28 ICT 2023","Wed Mar 01 14:40:29 ICT 2023","657","","Misc","","","",".end() - end the command chain",""
"passed","Wed Mar 01 14:41:40 ICT 2023","Wed Mar 01 14:41:40 ICT 2023","195","","Traversal","","","",".first() - get first DOM element",""
"passed","Wed Mar 01 14:40:50 ICT 2023","Wed Mar 01 14:40:51 ICT 2023","1339","","Network Requests","","","","cy.request() - save response in the shared test context",""
"passed","Wed Mar 01 14:41:39 ICT 2023","Wed Mar 01 14:41:40 ICT 2023","425","","Traversal","","","",".closest() - get closest ancestor DOM element",""
"passed","Wed Mar 01 14:41:50 ICT 2023","Wed Mar 01 14:41:50 ICT 2023","205","","Utilities","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Wed Mar 01 14:41:49 ICT 2023","Wed Mar 01 14:41:50 ICT 2023","718","","Utilities","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Wed Mar 01 14:40:14 ICT 2023","Wed Mar 01 14:40:14 ICT 2023","276","","Cypress.config()","","","","Get and set configuration options",""
"passed","Wed Mar 01 14:39:35 ICT 2023","Wed Mar 01 14:39:35 ICT 2023","651","","Actions","","","",".clear() - clears an input or textarea element",""
"passed","Wed Mar 01 14:41:00 ICT 2023","Wed Mar 01 14:41:01 ICT 2023","1337","","Querying","","","","cy.get() - query DOM elements",""
"passed","Wed Mar 01 14:40:19 ICT 2023","Wed Mar 01 14:40:20 ICT 2023","188","","Files","","","","cy.readFile() - read file contents",""
"passed","Wed Mar 01 14:41:40 ICT 2023","Wed Mar 01 14:41:41 ICT 2023","184","","Traversal","","","",".last() - get last DOM element",""
"passed","Wed Mar 01 14:41:23 ICT 2023","Wed Mar 01 14:41:24 ICT 2023","645","","Spies, Stubs, and Clock","","","","cy.spy() - wrap a method in a spy",""
"passed","Wed Mar 01 14:40:09 ICT 2023","Wed Mar 01 14:40:09 ICT 2023","298","","Cookies","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Wed Mar 01 14:40:19 ICT 2023","Wed Mar 01 14:40:19 ICT 2023","411","","Files","","","","cy.fixture() or require - load a fixture",""
"passed","Wed Mar 01 14:41:41 ICT 2023","Wed Mar 01 14:41:41 ICT 2023","194","","Traversal","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Wed Mar 01 14:39:55 ICT 2023","Wed Mar 01 14:39:55 ICT 2023","216","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Wed Mar 01 14:41:27 ICT 2023","Wed Mar 01 14:41:27 ICT 2023","332","","Spies, Stubs, and Clock","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Wed Mar 01 14:40:18 ICT 2023","Wed Mar 01 14:40:19 ICT 2023","728","","Files","","","","cy.fixture() - load a fixture",""
"passed","Wed Mar 01 14:41:04 ICT 2023","Wed Mar 01 14:41:05 ICT 2023","623","","Querying","","","",".within() - query DOM elements within a specific element",""
"passed","Wed Mar 01 14:40:14 ICT 2023","Wed Mar 01 14:40:14 ICT 2023","161","","Cypress.env()","","","","Get environment variables",""
"passed","Wed Mar 01 14:40:15 ICT 2023","Wed Mar 01 14:40:15 ICT 2023","157","","Cypress.spec","","","","Get current spec information",""
"passed","Wed Mar 01 14:41:24 ICT 2023","Wed Mar 01 14:41:27 ICT 2023","2890","","Spies, Stubs, and Clock","","","","cy.spy() retries until assertions pass",""
"passed","Wed Mar 01 14:40:08 ICT 2023","Wed Mar 01 14:40:08 ICT 2023","317","","Cookies","","","","cy.getCookies() - get browser cookies for the current domain",""
"passed","Wed Mar 01 14:39:36 ICT 2023","Wed Mar 01 14:39:39 ICT 2023","2758","","Actions","","","",".click() - click on a DOM element",""
"passed","Wed Mar 01 14:40:14 ICT 2023","Wed Mar 01 14:40:14 ICT 2023","176","","Cypress.dom","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Wed Mar 01 14:41:43 ICT 2023","Wed Mar 01 14:41:43 ICT 2023","190","","Traversal","","","",".siblings() - get all sibling DOM elements",""
"passed","Wed Mar 01 14:39:55 ICT 2023","Wed Mar 01 14:39:55 ICT 2023","204","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Wed Mar 01 14:42:08 ICT 2023","Wed Mar 01 14:42:09 ICT 2023","1211","","Waiting","","","","cy.wait() - wait for a specific route",""
"passed","Wed Mar 01 14:40:03 ICT 2023","Wed Mar 01 14:40:03 ICT 2023","212","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Wed Mar 01 14:40:13 ICT 2023","Wed Mar 01 14:40:14 ICT 2023","205","","Cypress.Cookies","","","",".debug() - enable or disable debugging",""
"passed","Wed Mar 01 14:39:23 ICT 2023","Wed Mar 01 14:39:24 ICT 2023","1239","","example to-do app","","","","displays two todo items by default",""
"passed","Wed Mar 01 14:41:33 ICT 2023","Wed Mar 01 14:41:34 ICT 2023","515","","Local Storage / Session Storage","","","","cy.getAllLocalStorage() - get all data in localStorage for all origins",""
"passed","Wed Mar 01 14:41:55 ICT 2023","Wed Mar 01 14:41:59 ICT 2023","3383","","Viewport","","","","cy.viewport() - set the viewport size and dimension",""
